model,approach,history,history_frames,case_study,bag_name,global_bag_id,event_id_within_bag,event_key,unsafe_start_frame_id,unsafe_end_frame_id,unsafe_start_s,unsafe_end_s,previous_unsafe_end_s,first_warning_frame_id,first_warning_s,first_warning_label,speed_at_warning_mps,lead_time_s,t_required_s,warning_raw_source_file
qwen,appfr,H02,2,huron,bww8_Feb-03-2023-bww8-intloss_00000000,huron__bww8_Feb-03-2023-bww8-intloss_00000000,1,huron__bww8_Feb-03-2023-bww8-intloss_00000000::300,300,302,30.290092,30.470755,10.696014,110,10.805874,potentially_unsafe,0.10972974,19.484218000000002,0.8097297400000001,qwen/bww8_Feb-03-2023-bww8-intloss_00000000/all15_qwen_bww8_Feb-03-2023-bww8-intloss_00000000_h2_frame.csv
qwen,appfr,H02,2,huron,bww8_Feb-03-2023-bww8-intloss_00000000,huron__bww8_Feb-03-2023-bww8-intloss_00000000,2,huron__bww8_Feb-03-2023-bww8-intloss_00000000::477,477,479,48.257437,48.482247,30.470755,346,34.835852,potentially_unsafe,0.10819389,13.421585,0.8081938900000001,qwen/bww8_Feb-03-2023-bww8-intloss_00000000/all15_qwen_bww8_Feb-03-2023-bww8-intloss_00000000_h2_frame.csv
qwen,appfr,H02,2,huron,bww8_Feb-03-2023-bww8-intloss_00000000,huron__bww8_Feb-03-2023-bww8-intloss_00000000,3,huron__bww8_Feb-03-2023-bww8-intloss_00000000::936,936,940,93.89156,94.327979,48.482247,480,48.567553,potentially_unsafe,0.1244145,45.324007,0.8244145,qwen/bww8_Feb-03-2023-bww8-intloss_00000000/all15_qwen_bww8_Feb-03-2023-bww8-intloss_00000000_h2_frame.csv
qwen,appfr,H02,2,huron,bww8_Feb-03-2023-bww8-intloss_00000000,huron__bww8_Feb-03-2023-bww8-intloss_00000000,4,huron__bww8_Feb-03-2023-bww8-intloss_00000000::1055,1055,1057,106.18962,106.361196,94.327979,943,94.655384,potentially_unsafe,0.1099720633333333,11.534236000000007,0.8099720633333334,qwen/bww8_Feb-03-2023-bww8-intloss_00000000/all15_qwen_bww8_Feb-03-2023-bww8-intloss_00000000_h2_frame.csv
qwen,appfr,H02,2,huron,bww8_Feb-03-2023-bww8-intloss_00000000,huron__bww8_Feb-03-2023-bww8-intloss_00000000,5,huron__bww8_Feb-03-2023-bww8-intloss_00000000::1059,1059,1063,106.573479,107.056296,106.361196,,,,,,,
qwen,appfr,H02,2,huron,bww8_Feb-03-2023-bww8-intloss_00000001,huron__bww8_Feb-03-2023-bww8-intloss_00000001,0,huron__bww8_Feb-03-2023-bww8-intloss_00000001::263,263,264,27.035605,27.141632,,196,19.666272,potentially_unsafe,0.1155632366666666,7.369333000000001,0.8155632366666666,qwen/bww8_Feb-03-2023-bww8-intloss_00000001/all15_qwen_bww8_Feb-03-2023-bww8-intloss_00000001_h2_frame.csv
qwen,appfr,H02,2,huron,bww8_Feb-03-2023-bww8-intloss_00000001,huron__bww8_Feb-03-2023-bww8-intloss_00000001,1,huron__bww8_Feb-03-2023-bww8-intloss_00000001::362,362,362,36.752984,36.752984,27.141632,,,,,,,
qwen,appfr,H02,2,huron,bww8_Feb-03-2023-bww8-intloss_00000001,huron__bww8_Feb-03-2023-bww8-intloss_00000001,2,huron__bww8_Feb-03-2023-bww8-intloss_00000001::591,591,594,58.788419,59.140465,36.752984,512,50.637323,potentially_unsafe,0.1192451233333333,8.151095999999995,0.8192451233333333,qwen/bww8_Feb-03-2023-bww8-intloss_00000001/all15_qwen_bww8_Feb-03-2023-bww8-intloss_00000001_h2_frame.csv
qwen,appfr,H02,2,huron,bww8_Feb-03-2023-bww8-intloss_00000001,huron__bww8_Feb-03-2023-bww8-intloss_00000001,3,huron__bww8_Feb-03-2023-bww8-intloss_00000001::621,621,623,61.645425,61.826772,59.140465,595,59.229457,potentially_unsafe,0.00591081,2.4159680000000066,0.70591081,qwen/bww8_Feb-03-2023-bww8-intloss_00000001/all15_qwen_bww8_Feb-03-2023-bww8-intloss_00000001_h2_frame.csv
qwen,appfr,H02,2,huron,bww8_Feb-03-2023-bww8-intloss_00000001,huron__bww8_Feb-03-2023-bww8-intloss_00000001,4,huron__bww8_Feb-03-2023-bww8-intloss_00000001::926,926,928,94.316595,94.497402,61.826772,891,91.164441,potentially_unsafe,0.1115514366666666,3.15215400000001,0.8115514366666666,qwen/bww8_Feb-03-2023-bww8-intloss_00000001/all15_qwen_bww8_Feb-03-2023-bww8-intloss_00000001_h2_frame.csv
qwen,appfr,H02,2,huron,bww8_Feb-03-2023-bww8-intloss_00000002,huron__bww8_Feb-03-2023-bww8-intloss_00000002,0,huron__bww8_Feb-03-2023-bww8-intloss_00000002::439,439,443,36.70497,37.046896,,436,36.439492,potentially_unsafe,0.1120339833333333,0.26547800000000166,0.8120339833333333,qwen/bww8_Feb-03-2023-bww8-intloss_00000002/all15_qwen_bww8_Feb-03-2023-bww8-intloss_00000002_h2_frame.csv
qwen,appfr,H02,2,huron,bww8_Feb-03-2023-bww8-intloss_00000002,huron__bww8_Feb-03-2023-bww8-intloss_00000002,1,huron__bww8_Feb-03-2023-bww8-intloss_00000002::669,669,683,60.640432,62.373055,37.046896,448,37.452038,potentially_unsafe,0.00913485,23.188393999999995,0.70913485,qwen/bww8_Feb-03-2023-bww8-intloss_00000002/all15_qwen_bww8_Feb-03-2023-bww8-intloss_00000002_h2_frame.csv
qwen,appfr,H02,2,huron,bww8_Feb-03-2023-bww8-intloss_00000002,huron__bww8_Feb-03-2023-bww8-intloss_00000002,2,huron__bww8_Feb-03-2023-bww8-intloss_00000002::688,688,696,63.020609,64.016182,62.373055,,,,,,,
qwen,appfr,H02,2,huron,cory1_Feb-16-2023-cory1-intloss_00000000,huron__cory1_Feb-16-2023-cory1-intloss_00000000,0,huron__cory1_Feb-16-2023-cory1-intloss_00000000::68,68,78,5.680737,6.532033,,9,0.76518,potentially_unsafe,0.0,4.915557,0.7,qwen/cory1_Feb-16-2023-cory1-intloss_00000000/all15_qwen_cory1_Feb-16-2023-cory1-intloss_00000000_h2_frame.csv
qwen,appfr,H02,2,huron,cory1_Feb-16-2023-cory1-intloss_00000000,huron__cory1_Feb-16-2023-cory1-intloss_00000000,1,huron__cory1_Feb-16-2023-cory1-intloss_00000000::98,98,105,8.194939,8.785111,6.532033,,,,,,,
qwen,appfr,H02,2,huron,cory1_Feb-16-2023-cory1-intloss_00000001,huron__cory1_Feb-16-2023-cory1-intloss_00000001,0,huron__cory1_Feb-16-2023-cory1-intloss_00000001::473,473,473,39.769127,39.769127,,144,12.231957,potentially_unsafe,0.1725457233333333,27.537169999999996,0.8725457233333334,qwen/cory1_Feb-16-2023-cory1-intloss_00000001/all15_qwen_cory1_Feb-16-2023-cory1-intloss_00000001_h2_frame.csv
qwen,appfr,H02,2,huron,cory1_Feb-16-2023-cory1-intloss_00000001,huron__cory1_Feb-16-2023-cory1-intloss_00000001,1,huron__cory1_Feb-16-2023-cory1-intloss_00000001::510,510,515,42.834701,43.241204,39.769127,477,40.090928,potentially_unsafe,0.1163597133333333,2.7437730000000045,0.8163597133333333,qwen/cory1_Feb-16-2023-cory1-intloss_00000001/all15_qwen_cory1_Feb-16-2023-cory1-intloss_00000001_h2_frame.csv
qwen,appfr,H02,2,huron,cory1_Feb-16-2023-cory1-intloss_00000001,huron__cory1_Feb-16-2023-cory1-intloss_00000001,2,huron__cory1_Feb-16-2023-cory1-intloss_00000001::843,843,843,70.623755,70.623755,43.241204,,,,,,,
qwen,appfr,H02,2,huron,cory1_Feb-16-2023-cory1-intloss_00000001,huron__cory1_Feb-16-2023-cory1-intloss_00000001,3,huron__cory1_Feb-16-2023-cory1-intloss_00000001::1733,1733,1751,146.611453,148.099933,70.623755,,,,,,,
qwen,appfr,H02,2,huron,cory1_Feb-16-2023-cory1-intloss_00000001,huron__cory1_Feb-16-2023-cory1-intloss_00000001,4,huron__cory1_Feb-16-2023-cory1-intloss_00000001::1762,1762,1764,148.995139,149.162222,148.099933,1752,148.185353,potentially_unsafe,0.0270603666666666,0.8097860000000026,0.7270603666666666,qwen/cory1_Feb-16-2023-cory1-intloss_00000001/all15_qwen_cory1_Feb-16-2023-cory1-intloss_00000001_h2_frame.csv
qwen,appfr,H02,2,huron,cory1_Feb-16-2023-cory1-intloss_00000002,huron__cory1_Feb-16-2023-cory1-intloss_00000002,0,huron__cory1_Feb-16-2023-cory1-intloss_00000002::406,406,406,33.84382,33.84382,,60,5.058437,potentially_unsafe,0.1905090466666666,28.785383000000003,0.8905090466666666,qwen/cory1_Feb-16-2023-cory1-intloss_00000002/all15_qwen_cory1_Feb-16-2023-cory1-intloss_00000002_h2_frame.csv
qwen,appfr,H02,2,huron,cory1_Feb-16-2023-cory1-intloss_00000002,huron__cory1_Feb-16-2023-cory1-intloss_00000002,1,huron__cory1_Feb-16-2023-cory1-intloss_00000002::1089,1089,1089,91.666821,91.666821,33.84382,451,37.748675,potentially_unsafe,0.1759620866666666,53.918146,0.8759620866666666,qwen/cory1_Feb-16-2023-cory1-intloss_00000002/all15_qwen_cory1_Feb-16-2023-cory1-intloss_00000002_h2_frame.csv
qwen,appfr,H02,2,huron,cory1_Feb-16-2023-cory1-intloss_00000002,huron__cory1_Feb-16-2023-cory1-intloss_00000002,2,huron__cory1_Feb-16-2023-cory1-intloss_00000002::1120,1120,1122,94.393374,94.560832,91.666821,1091,91.90169,potentially_unsafe,0.05499469,2.4916839999999922,0.75499469,qwen/cory1_Feb-16-2023-cory1-intloss_00000002/all15_qwen_cory1_Feb-16-2023-cory1-intloss_00000002_h2_frame.csv
qwen,appfr,H02,2,huron,cory1_Feb-16-2023-cory1-intloss_00000002,huron__cory1_Feb-16-2023-cory1-intloss_00000002,3,huron__cory1_Feb-16-2023-cory1-intloss_00000002::1363,1363,1369,115.786238,116.379826,94.560832,1123,94.640165,potentially_unsafe,0.0548007833333333,21.146073,0.7548007833333333,qwen/cory1_Feb-16-2023-cory1-intloss_00000002/all15_qwen_cory1_Feb-16-2023-cory1-intloss_00000002_h2_frame.csv
qwen,appfr,H02,2,huron,soda3_Feb-21-2023-soda3-intloss_00000000,huron__soda3_Feb-21-2023-soda3-intloss_00000000,0,huron__soda3_Feb-21-2023-soda3-intloss_00000000::1076,1076,1088,93.984132,95.026734,,33,3.493062,potentially_unsafe,0.1980588833333333,90.49107000000001,0.8980588833333333,qwen/soda3_Feb-21-2023-soda3-intloss_00000000/all15_qwen_soda3_Feb-21-2023-soda3-intloss_00000000_h2_frame.csv
qwen,appfr,H02,2,huron,soda3_Feb-21-2023-soda3-intloss_00000000,huron__soda3_Feb-21-2023-soda3-intloss_00000000,1,huron__soda3_Feb-21-2023-soda3-intloss_00000000::1591,1591,1591,137.812382,137.812382,95.026734,1089,95.108436,potentially_unsafe,0.1751337166666667,42.703946000000016,0.8751337166666667,qwen/soda3_Feb-21-2023-soda3-intloss_00000000/all15_qwen_soda3_Feb-21-2023-soda3-intloss_00000000_h2_frame.csv
qwen,appfr,H02,2,huron,soda3_Feb-21-2023-soda3-intloss_00000000,huron__soda3_Feb-21-2023-soda3-intloss_00000000,2,huron__soda3_Feb-21-2023-soda3-intloss_00000000::2243,2243,2245,191.261103,191.500738,137.812382,1653,142.867131,potentially_unsafe,0.1852222,48.39397199999999,0.8852222000000001,qwen/soda3_Feb-21-2023-soda3-intloss_00000000/all15_qwen_soda3_Feb-21-2023-soda3-intloss_00000000_h2_frame.csv
qwen,appfr,H02,2,huron,soda3_Feb-21-2023-soda3-intloss_00000001,huron__soda3_Feb-21-2023-soda3-intloss_00000001,0,huron__soda3_Feb-21-2023-soda3-intloss_00000001::392,392,395,36.986741,37.338287,,97,8.249025,potentially_unsafe,0.1987403733333333,28.737716000000002,0.8987403733333333,qwen/soda3_Feb-21-2023-soda3-intloss_00000001/all15_qwen_soda3_Feb-21-2023-soda3-intloss_00000001_h2_frame.csv
qwen,appfr,H02,2,huron,soda3_Feb-21-2023-soda3-intloss_00000001,huron__soda3_Feb-21-2023-soda3-intloss_00000001,1,huron__soda3_Feb-21-2023-soda3-intloss_00000001::401,401,403,37.97136,38.190927,37.338287,396,37.447513,potentially_unsafe,0.1919812066666666,0.5238469999999964,0.8919812066666666,qwen/soda3_Feb-21-2023-soda3-intloss_00000001/all15_qwen_soda3_Feb-21-2023-soda3-intloss_00000001_h2_frame.csv
qwen,appfr,H02,2,huron,soda3_Feb-21-2023-soda3-intloss_00000001,huron__soda3_Feb-21-2023-soda3-intloss_00000001,2,huron__soda3_Feb-21-2023-soda3-intloss_00000001::405,405,407,38.367406,38.579696,38.190927,404,38.27883,potentially_unsafe,0.1713880266666666,0.08857600000000332,0.8713880266666666,qwen/soda3_Feb-21-2023-soda3-intloss_00000001/all15_qwen_soda3_Feb-21-2023-soda3-intloss_00000001_h2_frame.csv
